,Published Date,Story Name,Story,Author
236,2020-03-17T20:23:59+0000,Identical in Every Way,"Four years ago, I gave birth to my first child, a son. My identical twin sister, Julie, was in the room. Julie and I have been bonded since birth: Our father is from an area in Nigeria that has one of the highest rates of twin births in the world. My sister’s middle name, Taiwo, means firstborn twin in Yoruba, and mine, Kehinde, means second-born twin. My son’s birth signified our first unshared experience. That is, until Julie gave birth to her own first child, also a son, as I watched in the delivery room, instantly reuniting our twin bond. — Jessica Kehinde Ngo",Jessica Kehinde Ngo
237,2020-03-17T20:23:59+0000,My Three Broken Hearts,"My first broken heart came from a girl I met at church, our hidden relationship complicated by inexperience, religion and uncertain sexuality. The second? A woman whose whispers — “I love you,” “I can’t do this anymore” — emphasized the 13 years that separated us. The third? The moment my service as an Army officer felt inconsequential. Surrounded by compromised leadership, I watched the dream that began when I was 6 disappear. But like a good soldier, I will pick up that broken heart, tie it with 550 cord and carry on. — Dina Kim",Dina Kim
238,2020-03-17T20:23:59+0000,A Summary of Love,"Fat girl in school. Judged for the outside. Hardened by jabs but always wanting to be loved. Lost weight in college, exercised, became “normal.” Wrestled the fat-girl trauma away. But still no dates, no love, no hope? Worked, focused on career and graduate school. Dated without success. Gave up, hung with friends. Got close to one guy, talked long hours, shared puns. But he was an exchange student, gone after one semester. So we wrote letters every day. Connection grew. Visited him in Sweden where we finally named it love. Decades later, I see it was worth the wait. — Dawn Leijon",Dawn Leijon
239,2020-03-10T19:00:12+0000,The Wild Ones,"When we met, we were the wild ones. We recognized it in each other. Our nights roaming Los Angeles continued as we pursued our own career paths. Then, our first house, our first baby. I thought I would die from missing our wildness. Our second baby turned us into business partners, essentially, with our communication limited to exchanging information about the children, schedules, bills. Life accelerated; we were stressed and breathless. Until we decided to change everything, to move to the countryside, focus on our children, exist with the awareness that life is a finite gift. What a wild idea. — Maria Coltharp",Maria Coltharp
240,2020-03-10T19:00:12+0000,Frugal Kindness,"“The sink is leaking,” I told my 77-year-old landlady. She came up to my Parisian attic apartment with a 16-inch wrench. We tightened nuts at random, playing plumber. “Go buy some tape and wrap everything,” she said. “I’m very economical; during World War II we had nothing!” Frustrated by our haphazard method, I fumed in the sink’s wet underbelly. But then I remembered the homemade cookies on my counter. This same frugality underpinned my landlady’s generosity. “I love you very much,” she said the day she gave me those cookies. “I love you too,” I said. — Matthew Barrett",— Matthew Barrett
241,2020-03-10T19:00:12+0000,A Cowboy in God’s House,"Fifty years ago, my family and I lived in California’s cattle country. When my son was 3, we would visit a small church that I called God’s house. As my son and I were leaving the church one day, we passed by a well-dressed cowboy climbing the stairs. My son stopped in his tracks and said, “Hi, God!” The man looked at me then said, “Hi, son.” He walked into the church and we went home. Since that act of kindness, I visualize a tall, gentle cowboy when I pray. I always say, “Hi, God!” — Teresa Rogers",Teresa Rogers
242,2020-03-10T19:00:12+0000,‘Old Never Happened for Him’,"Randy was a good Jewish boy; I, a shiksa. Nevertheless, we dated in college, happy until the Vietnam War intervened. He served while I went from Sorority Sue to protesting hippie. Time passed, we moved on. The month of my wedding, Randy called, asking me not to go through with it. That night I got very drunk. The wedding happened, life progressed, my husband died. In my heart, I knew Randy and I would end up together when we were old. Old never happened for him. I still see him in my dreams. — Kathryn Jarvis",Kathryn Jarvis
243,2020-03-03T20:00:08+0000,What Love Feels Like,"We were lying on the shaggy carpet of my 500-square-foot apartment, playing Bananagrams, deciding what love feels like. I said, “It’s the workout where you squat and catch the medicine ball at the same time. It’s falling and lifting at once.” Paul said, “How heavy is the ball?” I thought about it — about his depression and compulsiveness, my type-A personality and body-image issues. Just because we are in love doesn’t mean things have been easy. I replied, “I mean, how do you think I got thighs like these?” — E.J. Schwartz",E.J. Schwartz
244,2020-03-03T20:00:08+0000,Listen to Your Mother,"Under the guise of being a dutiful — not heartbroken — son, I called my mother on the second anniversary of my father’s death. “Michael, I’m not going to be one of those widows complaining about how tough life is,” she said. “I got out of bed, went to the gym and had lunch with friends. Your dad would have been disappointed if I didn’t. None of this ‘poor me.’” Turns out I needed that call more than she. My regret for being unable to visit my father a final time faded. My mother is right: Life is for living. — Michael Pointer",Michael Pointer
245,2020-03-03T20:00:08+0000,The Vanishing Magician,"I was smitten with the magician. Unexpectedly alone at his show, I volunteered to be his audience participant. Onstage, he asked me to write an everyday object on a piece of paper. I wrote “electric toothbrush” and sealed the envelope. “Does it vibrate?” he said, smiling, flirting, apparently reading my mind. We went on a few dates, then he sent me an email to break it off. Gmail suggested some responses: “I understand,” “I agree with you” and “No worries.” I wish he had dumped me via magic instead. He could have just disappeared. — Jenny Gorelick",Jenny Gorelick
246,2020-03-03T20:00:08+0000,Late-Night Ultimatum,"I was supposed to help my parents move in the morning, but Ailene chose that night, at 1 a.m., for her ultimatum: We would either leave my car as a couple or never see each other again. I loved Ailene. She loved me. Yet, my being trans had, to that point, complicated my relationships. (My mother, incredulous and inquisitive, had once asked, “Does this mean you’re a lesbian?”) I would receive my first hormone injection the following week. Who could love someone like me? I knew who. It was 4 a.m. when we left my car as a couple. — Amber Meyer",Amber Meyer
247,2020-02-25T20:34:27+0000,A Safe Haven in Bed,"I left Pittsburgh and Michael left Brooklyn for the dreamy, woodsy school we had only heard good things about. We did not realize that those things would be permitted only to me, with my white skin. For Michael, school was a constant terror. A few nights after we met, Michael abandoned his room for mine to escape his school-assigned roommate, who encouraged other students to shout racial slurs and pound on his dormitory door. That first night, we held each other tight, fearful of falling out of the twin bed we were forced to share. We haven’t slept apart since. — Eimile McKinnon",Eimile McKinnon
248,2020-02-25T20:34:27+0000,Most of Our Years Were Good Ones,"Stuck in a box in a closet, the hat my ex-husband gave me was now just an extravagant thing owned by a non-extravagant woman. I asked furriers for help, but they said the hat could only be what it was. Not a headband. Not a collar. “Most women would kill for this,” said one. “Put it on and strut,” said another. But I didn’t want a trophy hat. I just wanted a small memento in the cold, reminding me that most of our years had been good ones, a time when he had warmed my winters and I had warmed his. — Marsha Jacobson",Marsha Jacobson
249,2020-02-25T20:34:27+0000,"‘Mommy, I Am You’","On a lazy Sunday, Olivia disappears from the living room, later returning “dressed as Mommy.” She wears my red dress, green flats and crossbody bag. I don’t need to go upstairs to know what my bedroom looks like. I suppress a smile and get ready to tell her off. But then she gives me that look — that unmatched, adoring look — and says matter-of-factly, “Mommy, I am you.” I look at this loving little girl, who sees the version of me I can never be. Soon enough she will be grown up. Until then, let us enjoy this moment. — Sophia Nikoleishvili",Am
250,2020-02-25T20:34:27+0000,Please Wear That Dress,"Both young poets, we met on the set of “The United States of Poetry,” a documentary Bob Holman produced and I participated in. I recited my poems in a striped, blue-and-white dress. Twenty-five years later, Bob is widowed and I’m divorced. He contacts me online, asking me to meet and, please, to wear the dress. That dress is long-gone, but when we reunite I am reminded of the stripes in Bob’s blue eyes. We kiss in a taxi and I feel love. When we pull back, I see him seeing me in that dress of my youth. — Thylias Moss",Thylias Moss
251,2020-02-18T20:00:08+0000,"‘Where to Live, How to Live, Why to Live?’","Newly paraplegic at the age of 23, I needed answers. Where to live, how to live, why to live? One afternoon a colleague (and secret crush) visited me at the rehabilitation center. He took me on my first, terrifying foray into the real world down 34th Street in Manhattan. I told him I wanted to return when I couldn’t bear the stares of passers-by any longer. He said, “They are staring at you because they’ve never seen a woman so beautiful.” Tongue-tied, I looked up at him and saw love looking back. It was the only answer I needed. — Lauren Furst",Lauren Furst
252,2020-02-18T20:00:08+0000,"Somehow, She Knew","We were sitting in my grandmother’s living room. She was showing me an old photo album. One of the photos was of my parents, young and happy. She paused, smiled, squeezed my hand, then whispered in Greek, “I hope that you find someone with a good heart.” Two years earlier, she would tell me that she had hoped I would find “a nice Greek boy.” She was the only family member I hadn’t told I was gay. Something tells me I won’t need to. — Caitlin Turner",Caitlin Turner
253,2020-02-18T20:00:08+0000,Sure Will Miss That Venmo,"A $5 charge for a lox and cream cheese on pumpernickel, toasted. A 2-cent bribe for attention from across the room. A chicken emoji for half of the Popeyes we had ordered at 3 a.m. A $12 request for pad thai that I ate before falling asleep in front of the TV, his hand on my waist. When we said goodbye in a tiny New York City noodle shack, I cried, knowing that we were never going to Venmo the same $15 again. — Jessica Hu",Jessica Hu
254,2020-02-18T20:00:08+0000,The Sun Didn’t Rush Us,"I rose one morning while Elvie was still asleep. Knowing she was tired, I did not want to wake her. She stirred and told me to raise the blinds, then come back to bed and “cuddle” her. The sun streamed gently through the window. I thought I heard it whisper, “Don’t hurry, I’ll be up all day.” I went back to bed and cuddled her as she wished. We remained still for a few more minutes, listening to each other, breathing. — Jon Melegrito",Jon Melegrito
255,2020-02-11T20:00:09+0000,My Polygamist Ancestor and Me,"My middle name is Traugott, after my only polygamist ancestor. At 36, I came out as gay, divorced my wife and left the Church of Jesus Christ of Latter-day Saints. At 37, I began dating a man. At 42, we married. A year later, we’ve entered the stormy landscape of polyamory. We have each other, our children and boyfriends. I never thought I would have anything more in common with Traugott than an odd name. Now, I wonder: Could he and his two wives have given me relevant advice, a map for my new love life? Oh, sweet Jesus, the irony. — Shawn Bitters",Shawn Bitters
256,2020-02-11T20:00:09+0000,A Bookmark Near the End,"He loves history. He wanted to write a biography of John Quincy Adams. I, shamefully, knew almost nothing about John Quincy Adams, so I went online and bought every biography of him I could find. One day, he called me, claiming that we wouldn’t work out long term. He said he loved me but that we had different interests. “What does love mean to you?” I said. “That’s an impossible question,” he replied. I, however, find love to be quite simple. Love is the stack of biographies on my nightstand with a bookmark near the end. — Julia Nicole Camp",Julia Nicole Camp
257,2020-02-11T20:00:09+0000,"Loving Each Other, Hard","We broke his bed. It’s exactly as it sounds. Every time we made love after the break, the frame would groan and wheeze in tandem, as if echoing our efforts. My boyfriend and I have both moved homes, cycling through cheap furniture as we have the phases of our lives. I sometimes mourn the loss of that squeaky bed frame and all it represented. We love each other, hard. — Maggie Mahoney",Maggie Mahoney
258,2020-02-11T20:00:09+0000,Cannabis Cookies for Oscar,"Fourteen years ago, Oscar ran with me down to the tide pools, scrambling over rocks and chasing crabs into their hiding places. He chased all of his dreams back then — UPS trucks, skateboards, cats. He ran for miles on those four little legs. Now, my mother brushes his teeth and feeds him cannabis cookies every night. “Getting old isn’t for the faint of heart, is it?” she says to him, and he looks up at her like he knows exactly what she means. — Sophie Newman",Sophie Newman
259,2020-02-04T20:00:09+0000,Our Ages Added Up Perfectly,"In 1990, I joined Herb’s campaign for South Carolina governor. Herb wanted to overturn the provision in the state constitution that prohibited atheists from holding public office. We met in person, then fell in love via phone and letter during the summer. I worried about telling him my age. When he asked, I said, “Fifty-two. And you?” “Forty-eight.” We lost the election but helped to overturn the law. After we wed, I asked, “What did you think when I told you my age?” He said, “I thought 52 and 48 make 100.” Did I mention he was a mathematics professor? — Sharon Fratepietro",Sharon Fratepietro
260,2020-02-04T20:00:09+0000,The Silent Treatment,"“Shut Up!” my 7-year-old son said to me. Stunned silence. A single mother, I knew it was decision time. We don’t talk to each other like that. So shut up I did. For three days I would not speak to him or answer his questions. He begged me to say something as I performed our daily rituals. I was hurt and determined, though unsure of the outcome. On my pillow, day four, lay a note: “Dear mum, I miss the sound of your lovely voice, and I am truly sorry.” Tears. Hugs. He never said “shut up” to me again. — Diana Henry",Diana Henry
261,2020-02-04T20:00:09+0000,Toast Will Bring Us Together,"It was an awkward first date between me, a foreigner from the United States, and Yun-Hsing, a Taiwanese. I took her to a party with too much English and not enough privacy. Friends kept interrupting to ask about my latest heartbreak, my missing cat, Toast. Trying to salvage the night, I invited her back to my place. I was changing clothes when I heard her shouting. When I ran over, she was holding Toast! We spontaneously embraced, melting our awkwardness. That was three years ago. We married this summer after Taiwan legalized same-sex marriage. — Hannah Chang",Hannah Chang
262,2020-02-04T20:00:09+0000,Less Lovable Than Lobster,"Despite a drawn-out divorce, I frequently have reveries about a certain endearing trait of my former wife. When half-asleep, she would often make funny statements in her altered state. Example No. 1: She: “Turn off the light.” Me: “I did.” She: “No.” She points to the window. Me: “That’s the moon.” She: “Then turn off the moon.” Example No. 2, my favorite: As she snuggled up to me, eyes closed and semiconscious, she murmured, “I love you more than anything.” A pause. “Except lobster.” — Gene Keyes",Gene Keyes
263,2020-01-28T20:00:10+0000,A Shaft of Light,"We were 7-year-olds without siblings, living in adjacent Montreal apartments that shared a bathroom light shaft. Margaret had curly, ruddy-brown hair and glasses, and we simply liked each other. As soon as our parentally approved time together ended, we would run to our respective bathrooms, stand on our respective toilet seats and chatter through the windows until called away. Eventually, her family moved out and mine left Canada. Sixty-two years later, I see: That light shaft was our social medium, those windows our screens, in our analog love story. — Dov Midalia",Dov Midalia
264,2020-01-28T20:00:10+0000,Before Tinder and Grindr,"His shirtless picture caught my eye. “Me on my solo pilgrimage to Israel,” Todd typed. “Sorry if it’s risqué.” He’s cute, I thought. I was Catholic but drawn to this modest yet adventurous Jewish man. I had tried blind dates, New York City gay bars, even personal ads. In 2000, AOL chat rooms were a new way of socializing. Long before Tinder and Grindr, online hookups sounded illicit. So for years we lied to friends and family about how we met. Two decades and two children later, we’re proud that he, “HeartofBklyn,” found a connection with me, “GymRat.” — Steve Majors",Steve Majors
265,2020-01-28T20:00:10+0000,The Youngest Legal Scholar,"Without family near or money to spare, I brought my newborn with me to law school, placing her on my lap during class. Jane’s presence may have distracted other students, but it also brought them joy. (Without a dose of humanity, civil procedure can be rather dry.) Jane never cried — neither in class nor as I wrote papers late into the night, waiting for my medical resident husband to come home. Now, my daughter thinks my lawyer job is boring, but her quiet patience made it all possible. — Kate Vaughan",Kate Vaughan
266,2020-01-28T20:00:10+0000,When Bonds Don’t Break,"Marrying Pankaj wasn’t easy. We both lived in the northern Indian state of Uttarakhand but belonged to different castes. Despite our parents’ opposition, we married. Eleven years into our marriage, I got terribly sick with dengue fever. As my weight dropped and my organs failed, I felt defeated, unable to fight further. Then, in the midst of my exhausted, blurred consciousness, I heard Pankaj’s voice: “Listen, you’re not going anywhere. I’m not letting you go. Do you get it?” I blinked and lived on. — Shikha Tiwari",Shikha Tiwari
267,2020-01-21T19:00:08+0000,A Lack of Symmetry,"We were in my college apartment after several weeks of hooking up when he said, “You feel good. Is this good?” “Yeah,” I said. “This is good. I feel good.” And he said, “I’m happy.” And I said, “I’m happy.” And he said, “I like this.” And I said, “I like you.” That was it — not in a “that was it, they fell in love” kind of way, but in a “that was it, he saw the possibility of connection beyond the confines of my bed and got scared and ran away” type of way. — Sarah Marlin",Sarah Marlin
268,2020-01-21T19:00:08+0000,"Her Father, the Computer","My husband, Hideki, was transferred to New Jersey from Tokyo. He left me and our 19-month-old toddler, Akari, to wrap things up. During our three-month separation, we video chatted. For Akari, her father existed in my computer. When Hideki returned to bring us to America, Akari saw him in our doorway and froze, hiding behind me and staring: first at my computer, then at him. Computer, him. Back and forth. Finally, she smiled and waddled to him for a hug. My anxiety about our new life melted away. — Ayumi Tagawa",Ayumi Tagawa
269,2020-01-21T19:00:08+0000,Double Cousins,"Carolyn was born a year after me in the same month, April. Our mothers were sisters and our fathers were brothers, making us double cousins. As children in a Pennsylvania farming community, we often wore matching dresses, our hair in identical pixie cuts. After high school our paths diverged: me to college, eventually across the country; Carolyn to marriage at 19, two children, and a life devoted to church and family. When we met every few years, we hid our disappointment in each other’s choices. In middle age, dual breast cancer diagnoses brought us together again, no longer judging, rejoined. — Kathy Miller",Kathy Miller
270,2020-01-21T19:00:08+0000,"O.K., Never Mind","My 93-year-old grandmother, who suffered from dementia, would call me by my brother’s name: “Azim! Azim!” Upset, I would tell her that Azim is not my name and to call me by my actual name. To which she would reply, “My dear, I am senile, remember?” — Aizat Alam",Aizat Alam
271,2020-01-14T19:05:14+0000,"Why Marry? Oh, Right, That’s Why","David was washing dishes after supper, his back to me, when we decided to get married. Throughout our 17 years together I had resisted the idea, not wanting to surrender authority to the church or to the state, both of which had opposed our marriage for centuries. Once more, I asked David why he wanted to wed. “Because it would bring me joy,” he replied, and that settled that. — David Jenkins",David Jenkins
272,2020-01-14T19:05:14+0000,The Unifying Power of Food,"In the kitchen of our community’s Sikh Temple in California’s Central Valley, people of every creed, color and class are welcome to enjoy a free meal. Everyone eats while seated on the floor; no one is higher or lower than his or her neighbor. I watch in awe as my grandmother, Kulwant Kaur, kneads a mound of dough. When the naan is done, a teenage boy picks up a perfectly cooked piece, bows his head in gratitude and embraces my grandmother. In a socially divided world, food unifies. — Henna Hundal",Henna Hundal
273,2020-01-14T19:05:14+0000,"Leg Amputation, Then Wine and Milanos","I was a surgical resident; she was a medical student. We shook hands, had lunch, flirted. I taught her how to amputate a leg and put in a chest tube. We had our first date two weeks later. Sauvignon blanc with dinner and Milanos for dessert in the misty rain. Big thunderstorm that night. Together ever since we awoke the next morning. — Robert Topper",Robert Topper
274,2020-01-14T19:05:14+0000,Wearing Her Eye Shadow,"My best friend’s husband said he had something for me, then handed over a bag of Ilyse’s makeup. Eye shadow had broken open, pinkish-purple dust coating the contents. He said, “Damn it, I should’ve been more careful with it. I hope there’s something you can use.” It took him three years after she died to part with this. He doesn’t know that makeup expires, or that people shouldn’t wear each other’s. Later, my husband said, “Throw that away.” I did, but the next day, while alone, I fished the bag from the garbage. Ilyse’s eyeliner is my shade. I’m wearing it now. — Suzanne Roberts",Suzanne Roberts
275,2020-01-07T19:00:09+0000,What I Taste,"Dominic moves with ease around the kitchen. There is no hesitation, no lingering. Recipes and measurements are nonexistent, but his food is always delicious. When Dominic cooks, the counters are spotless and the dishes clean. “Wash while you’re cooking,” he says. His hands are mysteriously baby-skin soft in spite of all the scrubbing. Dominic hasn’t told me that he loves me, unprompted, in days. But then he’ll look at me as I eat his food, our children sitting beside us. “Te quiero tanto” (“I love you very much”) is what I taste. — Susana Odriozola",Susana Odriozola
276,2020-01-07T19:00:09+0000,What We Do In the End,"“Your sister is in the hospital,” my mother said over the phone. “You need to come home.” I had no idea that Jenny, a 44-year-old suburban mother, would be dead from prescription opioids just six days later. Although blindsided by her fatal addiction, I was grateful for those final days in the hospital: feeding my sister, shuffling her to the bathroom, singing show tunes (her eyes always closed) and telling her I loved her. That’s what we do in the end: the messy, tender, heartbreaking things. We are our best selves, even if it’s too late. — Kelly O’Connor",Kelly O’Connor
277,2020-01-07T19:00:09+0000,Making Friends Over 40,"I never see my old friends anymore. Neither does my wife. The extended punk-rock “family” of our youth is long gone. We’ve all drifted apart physically and emotionally. Our jobs changed. Our responsibilities changed. We changed. Making friends over 40 is hard. There isn’t much to bond over. The new connections we do form are tenuous, easily disrupted by the slightest inconvenience. Are relationships transactional? Do we simply have little left to offer? My wife and I feel alone, but at least are alone together. We cling to each other more tightly each year, hoping the other is enough. — Daniel Lee Perea",Daniel Lee Perea
278,2020-01-07T19:00:09+0000,My Scrawny Little Brother is My Protector,"I’m 12 years old and sleep on a 6-foot bed. My bed is perfectly comfortable, but I have trouble sleeping. Nothing changes my terror of the night and its darkness — the darkness that crawls into dreams, turning them into nightmares. A few months ago, I asked my 8-year-old brother to sleep with me. Who knew this scrawny little kid could make such a change in my life? He helps me feel safe, helps me feel strong. He helps me sleep through those otherwise sleepless nights. — Vivaan Parikh",Vivaan Parikh
279,2019-12-31T15:00:10+0000,The Flamingo Connection,"Peyton posted a picture with his flamingo, Lisa, wearing a Santa hat. Lisa had an Instagram account, so I followed it. He texted: “I see you following my lawn flamingo on Instagram.” I replied: “You tagged it in a photo. What other option did I have?” The texts got longer. Christmas slid to New Year’s and eventually to an evening watching the stars. I asked him why he texted me; he asked why I responded. We both knew. I’m thankful for that flamingo. “She’s the only girl I’ll ever love,” he once said. But that’s not true anymore. — Kate Bellows",Kate Bellows
280,2019-12-31T15:00:10+0000,Hash-Brown Hanukkah Hack,"After reading about the Hanukkah hack online, I bought four bags of frozen hash browns. As we fried them up, our house smelled like onions and potatoes and Hanukkah. Not one of our 14 guests knew there had been no arduous grating. But my sister-in-law was suspicious. She looked at my husband’s hands and noted the lack of cuts. “How’d you do it?” she said. He smiled. “I’m a good grater.” I thought about blowing his cover. Everybody wanted seconds. She said, “Come on, dude.” He winked at me. I didn’t say a word. — Robin Finn",Robin Finn
281,2019-12-31T15:00:10+0000,A Space in the Storm,"Despite an impending New Year’s blizzard, I drove my little Honda to the Hamptons to visit a friend. We got cabin fever, both wanting to be somewhere else for the holiday, and drove back to the city before they closed the roads. We passed cars stuck like Lego pieces in the snow and made it home. The lots were full. My traveling companion left me to go ring in the new year, so I called my friend, John, who appeared with a smile and a shovel. In clearing a spot for my car, he created a space where I felt loved. — Elana Rabinowitz",Elana Rabinowitz
282,2019-12-31T15:00:10+0000,Dusty Pink New Year,"My 65-year-old mother entered the hospital on Dec. 21; her liver was past its expiration date. With my father buried the year before and my sister stationed in Germany, the holidays evaporated. After midnight on Christmas Eve, I arrived home from my bedside vigil to discover a red box cradling a dusty pink silk shirt — my size, my shade. My high school classmate’s Jewish mother, no stranger to loss, had refused to let my Christmas be ghosted. I wore the blouse to the funeral, wore it until the sleeves shredded. Dusty pink is my New Year’s color. — Susie Case",Susie Case
283,2019-12-24T12:00:08+0000,Love Is the Way My Friends Laugh,"I spent the last night of Hanukkah knee-deep in potato peelings with my closest friends. None of them are Jewish, but they were all eager. We ate latkes, passed the Shamash around my dining room table so we could each light a candle on the menorah. Watching my friends take such care with a religion that is not their own evoked an unexpected tenderness. Love is the way my friends laughed as we stood around my kitchen island on my last Hanukkah at home before college, squeezing grated potatoes into patties and sliding them into oiled pans. — Rachel Lynch",Rachel Lynch
284,2019-12-24T12:00:08+0000,He Waited Until Morning,"It was Christmas Eve in the intensive care unit. My husband was unresponsive. I put my head on his bed and dozed off. When I awoke, it was 2 a.m. Christmas morning. Death was coming and I was afraid. I caressed his hand and talked to him. “I don’t want to drive home alone in the dark and cold. Can you wait until dawn to pass on?” I got in bed with him, our souls met. Peace. The sun came up and my husband took his last breath. His final gift to me was the gift of light. — Cathy Lickteig Makofski",Cathy Lickteig Makofski
285,2019-12-24T12:00:08+0000,The Object of No Significance,"Our first Christmas as a couple, we were living on opposite coasts. He was a self-described clueless gift giver. With apology, he handed me a glass-blown ornament in the shape of a Hershey’s kiss, calling it “The Object of Great Significance.” Whenever I felt despondent about the distance, he said to imagine the space within the ornament’s swirly iridescent walls as somewhere we were always together. He looked sheepish; I cried. The next Christmas, he moved home and gave me a stuffed Hershey’s kiss toy, calling it “The Object of No Significance.” We no longer had to imagine. — Diane Cheng",Diane Cheng
286,2019-12-24T12:00:08+0000,Trusting the Edge,"A family holiday card that year would have shown our faces being scratched out: father dead, mother in assisted living, one brother in a coma. I’d just broken up with a dishonest, possibly-cheating-on-me-boyfriend. My brother Gary took me ice-skating at the local rink. He was graceful and fluid; I tottered on wobbly ankles. He skated over with ibuprofen, a Walkman and headphones. Coltrane was playing “My Favorite Things.” “Trust the edge,” Gary said. Soon I was gliding along, no longer depressed or caring if I fell. I knew he would be there to help me up. — Kim Addonizio",Kim Addonizio
287,2019-12-17T19:00:09+0000,Linked by a Stranger From Brooklyn,"I’m a geneticist. At a conference where I was presenting, I spit into a tube for one of those DNA tests that are now all the craze. How fitting but surprising to discover not one but six half-siblings. I grew up with one full sister. Our parents, now deceased, never mentioned a sperm donor. I suppose that’s how they quietly managed infertility in the 1950s. Although I was initially incredulous, I delight in the fact that, more than half a century ago, an anonymous man from Brooklyn gave us the gift of life and, years later, each other. — Ricki Lewis",Ricki Lewis
288,2019-12-17T19:00:09+0000,Suddenly Happy,"My husband, two young daughters and I were a close and happy family. One July 4, my husband suffered heart complications and eventually died. It was a bleak and traumatic time for us. I operated on autopilot, managing my daily tasks robotically. With little hope in her voice, my youngest daughter asked, “Mom, will we ever be happy again?” I looked at her and promised, “We will be happy again.” My words were really a prayer. Years passed. One day while driving in our new car my youngest suddenly declared, “Mom, you promised we’d be happy again, and we are.” — Lois Cooper",Lois Cooper
289,2019-12-17T19:00:09+0000,There’s a Logic to Love,"As an engineer, I believe problems have logical solutions. To solve my relationship problem, I needed to structure it. Standing at my boyfriend’s whiteboard with a marker and a flowchart I’d drawn, I asked him questions, tracing his answers down the chart. He was happy but wasn’t sure he could fall in love with me. The chart said “Break up,” so we did. I went back to him, promising to love myself enough for both of us. It didn’t work. We broke up again. Love is simple. The flowchart and your heart must lead to the same answer: “Stay.” — Jack Simmons",Jack Simmons
290,2019-12-17T19:00:09+0000,Into the Snow for Chocolate,"It was a snowy New York City winter. My husband, dog and I were living in a fourth-floor walk-up on East 84th Street. I woke up one night at 2 a.m. with an intense craving for chocolate. I woke my husband, Vic, asking him if we had any chocolate, though I knew we didn’t. He looked at me, said nothing, got out of bed, put on his snow gear and left. A half-hour later he returned, silently handing me a large box filled with M&M’s and Chunky bars. Without a word, he went back to sleep. That’s love. — Ruth Ress",Ruth Ress
291,2019-12-10T19:00:10+0000,When a Chandelier Falls on Your Head,"All I ever wanted was a dog, but Carlito was allergic and unmovable. I married him anyway, certain that love would prevail. One night while eating with friends in a Manhattan restaurant, a 50-pound chandelier broke out of the ceiling, partly striking my head. I bled; he wept. When the E.M.T. told everyone I would live, Carlito’s friend leaned over my stretcher and whispered, “Now’s the time to ask for anything …” We named the puppy Chandelier. Carlito sneezed every day of our dog’s life, but he didn’t care one bit. — Shari Simpson",Shari Simpson
292,2019-12-10T19:00:10+0000,I Didn’t Run,"I met David on a blind date. The next day, I invited him over for tea. He appeared on my porch, peeking through the glass, offering me his cupped palms. “It’s all yours,” he said. “What? Sweaty hands?” “No.” He beamed. “My heart.” Typically, this would make me run, but I didn’t. He had picked me to hold his heart. His body was ravaged with cancer, but still, I accepted. We laughed. We cried. We married. Twenty-two months after our eyes met, I stood at the river, cupping my palms with ashes, and let go. — Susan Purvis",Susan Purvis
293,2019-12-10T19:00:10+0000,She Stretched Like My Cat,"Wendy was one of my favorite single-mum friends. She had a disconcertingly careless way of stretching that reminded me of my cat. Her stomach was toned and her T-shirts were tight. One day, she turned up at a friend’s house with a girlfriend. I was so cross that I started avoiding her. She assumed I was homophobic. I missed her optimism and her endless enthusiasm for gossip and chocolate. Eventually, I tossed a coin and invited her over for a drink. I was terrified. We got married last year. Turns out, all that stretching hadn’t been so careless after all. — Joanna Lambert",Joanna Lambert
294,2019-12-10T19:00:10+0000,A Guide to Toxic Relationships,"Two months after meeting her, I was reading wikiHow’s “How to Say ‘I Love You’: 13 Steps (with pictures).” Nine months in, “How to Recognize a Toxic Relationship: 12 Steps (with pictures).” Ten months in, “How to Fix a Toxic Relationship (with pictures).” Twelve months in, “How to End a Controlling or Manipulative Relationship.” One month out, “How to Survive a Broken Heart (with pictures).” I’m on step three: Put your feelings into words. — Sofia Collins",Sofia Collins
295,2019-12-03T19:00:05+0000,Clubbing With My Mother,"I was at the club with my mother. Earlier that day, I had moved back in with her. Single, 31, living with my mother and even clubbing together, I was surfing the unique freedom that comes with having nothing left to lose. It was the highest low. I was sad and thrilled. Figuratively and literally dancing as if no one was watching. I thought I saw someone watching, though. Now, a few months later, I’m moving in with him. — Maria-Cristina Trepcea",Maria-Cristina Trepcea
296,2019-12-03T19:00:05+0000,She Laughed Big,"She lived for 56 years, 26 of them with me. She died. I live. No one in the world laughed like she did: big, loud, head turning. Easy to remember. What a blessing. — Elizabeth Hutchins",Elizabeth Hutchins
297,2019-12-03T19:00:05+0000,I Miss That Too-Small Bed,"The antique hotel bed that my wife and I shared to celebrate our 10th wedding anniversary wasn’t designed for a 6-foot-3 individual like me. Measuring 6 by 6 feet and boasting an oversize footboard, the bed made it impossible for me to stretch my legs. Yet after 48 years together, those cramped quarters beckon. Was it the cheap Champagne, the laughter or the scrunched lovemaking that make that night so vivid? We were so fit, so young, so beautiful. At 68, I miss this younger version of us and the time we shared in that decrepit, too-small bed. — Al Miles",Al Miles
